date,ville,température,conditions
2025-02-03,East Michaelfurt,-2.9,orage
2025-02-09,Tammyburgh,25.6,neige
2025-02-26,Catherinefort,3.1,nuageux
2025-02-09,Lake Scotthaven,20.5,pluie
2025-01-12,Lake Jessicastad,14.7,nuageux
2025-01-10,Rachelchester,10.7,neige
2025-01-01,Grantburgh,-1.7,ensoleillé
2025-01-27,New Davidborough,-1.2,orage
2025-02-10,East Gregoryborough,2.9,orage
2025-01-01,Browningport,3.2,neige
2025-02-17,West Thomasville,28.3,orage
2025-01-31,East Joseph,13.8,neige
2025-01-03,Port Theresaport,5.8,pluie
2025-01-30,Tanyaview,6.6,neige
2025-01-29,Taylorport,8.7,nuageux
2025-02-07,Chelseahaven,15.3,nuageux
2025-01-14,New Laura,21.8,ensoleillé
2025-02-13,Reneefort,23.8,nuageux
2025-01-12,South Matthew,24.4,pluie
2025-02-08,Delacruzborough,-5.5,nuageux
2025-02-23,Lake James,24.7,nuageux
2025-02-07,Martinmouth,-1.5,nuageux
2025-01-12,Donnaview,26.2,neige
2025-02-28,Port Garyhaven,14.8,ensoleillé
2025-02-23,Taylorfurt,10.1,orage
2025-01-16,East Davidbury,8.7,nuageux
2025-02-21,Priceshire,32.6,nuageux
2025-01-05,North Williamburgh,18.1,orage
2025-01-20,Orrview,4.1,orage
2025-02-09,North Elizabethside,0.5,neige
2025-01-21,Laurenland,31.4,pluie
2025-01-25,Lake Sharon,14.7,ensoleillé
2025-02-11,Leetown,6.8,pluie
2025-01-30,Donnatown,29.6,neige
2025-01-11,Garciamouth,32.4,nuageux
2025-03-01,South Jeremy,18.7,nuageux
2025-01-20,Joshuaside,24.1,pluie
2025-02-22,Lake Christieborough,-0.2,pluie
2025-02-22,Lake Anthonybury,12.4,orage
2025-02-19,Smithborough,12.8,nuageux
2025-02-19,New Cynthiafort,26.7,nuageux
2025-02-05,Kirbyshire,14.1,orage
2025-02-14,Shaneburgh,12.9,orage
2025-01-22,Bradleyview,25.1,ensoleillé
2025-02-08,Figueroashire,27.8,nuageux
2025-01-05,Lake Cynthiaberg,24.4,ensoleillé
2025-02-02,Andrewbury,5.2,orage
2025-01-06,South Ryan,-1.9,ensoleillé
2025-01-21,Nelsonshire,19.4,ensoleillé
2025-02-11,New Randy,5.5,pluie
2025-01-03,Lake Deborahfurt,13.0,pluie
2025-01-16,South Kathy,32.5,nuageux
2025-01-28,East Jacobborough,13.0,ensoleillé
2025-01-02,Davismouth,14.0,neige
2025-02-27,Adamsshire,23.3,nuageux
2025-02-22,Holmeschester,19.8,neige
2025-01-13,Gabrielleville,34.2,pluie
2025-01-01,South Amy,9.7,orage
2025-03-01,North Erik,11.1,nuageux
2025-02-20,Christinehaven,24.9,nuageux
2025-01-25,Jacksonmouth,-1.2,neige
2025-01-19,Davismouth,18.0,pluie
2025-01-07,Rosschester,-4.5,pluie
2025-02-26,Cynthiastad,16.6,neige
2025-03-02,Wattsside,-2.5,pluie
2025-02-15,Raymouth,3.9,nuageux
2025-01-24,Jonesbury,13.2,neige
2025-01-09,New Darrellport,25.4,neige
2025-01-02,Singhfurt,4.9,nuageux
2025-01-06,Kingberg,18.5,neige
2025-02-15,Michaelmouth,15.7,neige
2025-02-07,Meadowsside,-0.7,nuageux
2025-02-08,North Natalieview,30.0,ensoleillé
2025-01-01,South Stephaniebury,2.6,neige
2025-02-10,Fredville,4.9,nuageux
2025-01-29,Danielfort,8.4,ensoleillé
2025-01-02,Weaverstad,32.0,pluie
2025-01-31,East Tiffany,20.8,neige
2025-01-26,Hutchinsonfort,14.3,ensoleillé
2025-02-08,West Andrew,14.9,ensoleillé
2025-02-25,Danielstad,9.7,neige
2025-02-24,South Micheletown,-3.6,nuageux
2025-01-15,North Christinamouth,30.3,neige
2025-02-20,Port Kyle,25.6,neige
2025-02-13,Williamsville,10.7,ensoleillé
2025-01-23,Hughesburgh,21.7,pluie
2025-01-07,New Jaimebury,19.2,neige
2025-01-06,Tamaramouth,15.9,nuageux
2025-03-02,New Casey,12.4,orage
2025-01-16,Nielsenstad,8.6,neige
2025-03-03,North Paul,20.7,neige
2025-01-23,South Christopher,28.0,ensoleillé
2025-01-16,Jonestown,32.1,nuageux
2025-02-26,Gregorymouth,6.9,neige
2025-02-20,Williamfurt,-2.0,neige
2025-02-09,Rhodesmouth,12.3,ensoleillé
2025-02-20,Glennstad,11.8,neige
2025-03-03,Eugenefurt,-1.2,nuageux
2025-02-12,New Kristin,33.9,ensoleillé
2025-01-24,Port Clairebury,16.5,pluie
2025-02-04,West Traci,31.3,orage
2025-01-08,Longside,9.5,ensoleillé
2025-02-14,East Richard,15.2,orage
2025-01-19,West Erikamouth,25.7,ensoleillé
2025-03-04,North Hollyport,25.1,neige
2025-01-17,Longstad,31.6,neige
2025-01-18,Johnsonchester,5.7,ensoleillé
2025-01-27,New Jacquelineberg,18.3,pluie
2025-01-01,Adamshire,-2.8,ensoleillé
2025-03-04,Sheppardbury,9.7,neige
2025-01-01,Jacobbury,20.7,pluie
2025-02-02,Andersonton,35.3,orage
2025-02-19,East Kevinmouth,17.9,nuageux
2025-02-15,East Frankview,-5.2,ensoleillé
2025-02-11,Lewisborough,30.6,orage
2025-01-01,South Amandatown,22.5,pluie
2025-01-16,Carrmouth,2.5,neige
2025-01-18,Scotthaven,-1.8,orage
2025-02-09,East Penny,30.2,nuageux
2025-01-11,North Donna,2.7,neige
2025-01-30,Port Cynthiaburgh,32.0,orage
2025-01-28,Williamside,34.3,pluie
2025-02-17,Bushton,10.4,orage
2025-01-01,Ronaldview,0.2,nuageux
2025-02-16,Matthewhaven,3.6,ensoleillé
2025-02-19,New Jessica,11.1,ensoleillé
2025-01-13,West Markland,8.0,orage
2025-02-19,Knappberg,13.3,orage
2025-03-02,South Geoffrey,-1.8,neige
2025-01-26,Fieldsview,35.1,orage
2025-02-15,Kellyfurt,28.9,nuageux
2025-02-25,Leeshire,-3.2,orage
2025-01-19,Smithburgh,23.5,ensoleillé
2025-02-26,South Paulabury,7.9,ensoleillé
2025-02-24,Clarkfurt,11.5,nuageux
2025-01-25,Cookport,31.8,neige
2025-01-28,West Gabriellemouth,33.1,nuageux
2025-01-02,Lake Jameshaven,14.9,nuageux
2025-01-15,Kylefort,23.9,nuageux
2025-02-07,North Thomas,13.6,orage
2025-02-16,Valerieberg,34.2,neige
2025-01-22,Port Kellystad,7.6,neige
2025-01-30,North Stephanie,32.6,pluie
2025-02-11,Davidbury,11.4,pluie
2025-01-18,Christinemouth,24.7,orage
2025-01-09,Kayleemouth,15.8,pluie
2025-02-22,Jacksonton,28.4,nuageux
2025-02-21,Barryborough,25.7,nuageux
2025-01-22,Davidmouth,1.9,nuageux
2025-01-06,New Annastad,7.4,neige
2025-01-24,Lake Caroline,27.8,ensoleillé
2025-02-22,North Kristenburgh,33.9,neige
2025-03-04,New Jesse,1.2,neige
2025-02-19,Johnsonberg,28.8,neige
2025-02-01,Stephenside,7.3,ensoleillé
2025-02-09,East Dianeburgh,16.9,ensoleillé
2025-01-30,Danielland,28.0,nuageux
2025-02-05,South Laurenshire,-4.4,pluie
2025-01-06,East Sheenafort,23.4,nuageux
2025-03-04,Lake Susan,13.4,ensoleillé
2025-02-10,Justinmouth,-2.0,pluie
2025-01-16,East Daniel,-2.7,orage
2025-01-31,East Philip,9.3,nuageux
2025-02-20,Aguirrechester,-1.1,ensoleillé
2025-01-23,East Christina,13.6,ensoleillé
2025-01-01,West Adrianville,24.3,neige
2025-01-04,New Josephshire,30.4,nuageux
2025-01-31,Kimberlymouth,18.8,neige
2025-02-24,Houseburgh,29.3,neige
2025-02-16,North Austin,22.8,nuageux
2025-01-28,New Jessica,16.7,nuageux
2025-01-13,South Robert,28.6,ensoleillé
2025-02-26,Jessicahaven,2.4,nuageux
2025-02-05,Lake Darrell,7.5,ensoleillé
2025-01-08,Lake Connie,20.8,neige
2025-02-03,Gibsonfurt,-2.7,orage
2025-02-26,Riosport,1.4,neige
2025-02-19,Dylanton,-5.2,nuageux
